TIPO,ESTRATO ,CONSUMO JULIO 2020,CONSUMO AGOSTO 2020.,CONSUMO SEPTIEMBRE 2020.,CONSUMO OCTUBRE 2020.,CONSUMO NOVIEM 2020.,CONSUMO DICIEMBRE 2020.,PROMEDIO
RESIDENCIAL,ESTRATO 2,28,23,29,25,15,25,24.16666667
RESIDENCIAL,ESTRATO 1,7,10,8,7,4,5,6.833333333
RESIDENCIAL,ESTRATO 2,37,33,35,47,23,43,36.33333333
RESIDENCIAL,ESTRATO 3,6,13,14,9,4,5,8.5
RESIDENCIAL,ESTRATO 2,41,29,26,31,18,33,29.66666667
RESIDENCIAL,ESTRATO 2,0,0,1,1,0,0,0.3333333333
RESIDENCIAL,ESTRATO 2,0,1,2,2,2,3,1.666666667
RESIDENCIAL,ESTRATO 2,25,24,38,35,23,69,35.66666667
RESIDENCIAL,ESTRATO 2,15,0,13,11,7,33,13.16666667
RESIDENCIAL,ESTRATO 2,1,0,1,4,1,15,3.666666667
RESIDENCIAL,ESTRATO 2,13,10,11,17,8,25,14
RESIDENCIAL,ESTRATO 2,12,8,12,15,11,24,13.66666667
RESIDENCIAL,ESTRATO 2,26,21,25,30,22,35,26.5
RESIDENCIAL,ESTRATO 2,0,0,0,16,7,1,4
RESIDENCIAL,ESTRATO 2,34,27,35,32,24,58,35
RESIDENCIAL,ESTRATO 2,3,2,3,4,3,9,4
RESIDENCIAL,ESTRATO 2,0,0,0,1,0,3,0.6666666667
RESIDENCIAL,ESTRATO 2,0,4,17,10,6,11,8
RESIDENCIAL,ESTRATO 2,0,195,88,83,41,93,83.33333333
RESIDENCIAL,ESTRATO 2,33,23,25,31,25,43,30
RESIDENCIAL,ESTRATO 2,27,23,27,30,8,31,24.33333333
RESIDENCIAL,ESTRATO 2,7,13,11,6,3,15,9.166666667
